PS C:\PseudoFFSwin> & C:\Users\CSE-AI-Lab\AppData\Local\Programs\Python\Python311\python.exe c:/PseudoFFSwin/train_classification.py
🚀 Training Classifier on cuda...
✅ Balanced Training Samples: 2226
✅ Real Validation Samples:  857
Starting Training Loop...
Current Learning Rate: 5e-05
			
Ep 1/100 | Loss: 1.1088 | Train Acc: 36.2% | Val Acc: 71.5%
Ep 49/100 | Loss: 0.1440 | Train Acc: 96.0% | Val Acc: 95.1%
Ep 50/100 | Loss: 0.1636 | Train Acc: 95.4% | Val Acc: 96.5%
Ep 51/100 | Loss: 0.1234 | Train Acc: 97.1% | Val Acc: 97.9%
Ep 52/100 | Loss: 0.1255 | Train Acc: 96.6% | Val Acc: 98.0%
Ep 53/100 | Loss: 0.1149 | Train Acc: 97.2% | Val Acc: 98.5%
Ep 54/100 | Loss: 0.1068 | Train Acc: 97.2% | Val Acc: 97.2%
Ep 55/100 | Loss: 0.0904 | Train Acc: 98.0% | Val Acc: 99.1%
Ep 56/100 | Loss: 0.1581 | Train Acc: 96.6% | Val Acc: 98.6%
Ep 57/100 | Loss: 0.0869 | Train Acc: 98.2% | Val Acc: 99.2%
Ep 58/100 | Loss: 0.0957 | Train Acc: 97.7% | Val Acc: 94.7%
Ep 59/100 | Loss: 0.1091 | Train Acc: 97.5% | Val Acc: 97.0%
Ep 60/100 | Loss: 0.0710 | Train Acc: 98.6% | Val Acc: 99.1%
Ep 61/100 | Loss: 0.0800 | Train Acc: 97.9% | Val Acc: 98.6%
Ep 62/100 | Loss: 0.0673 | Train Acc: 98.7% | Val Acc: 97.3%
Ep 63/100 | Loss: 0.0686 | Train Acc: 98.6% | Val Acc: 99.1%
Ep 64/100 | Loss: 0.0799 | Train Acc: 98.0% | Val Acc: 99.4%
Ep 65/100 | Loss: 0.0874 | Train Acc: 97.9% | Val Acc: 96.1%
Ep 66/100 | Loss: 0.0578 | Train Acc: 98.8% | Val Acc: 98.9%
Ep 67/100 | Loss: 0.0467 | Train Acc: 99.0% | Val Acc: 99.4%
Ep 68/100 | Loss: 0.0547 | Train Acc: 98.9% | Val Acc: 99.8%
Ep 69/100 | Loss: 0.0613 | Train Acc: 98.4% | Val Acc: 99.6%
Ep 70/100 | Loss: 0.0522 | Train Acc: 98.7% | Val Acc: 98.6%
Ep 71/100 | Loss: 0.0389 | Train Acc: 99.1% | Val Acc: 99.6%
Ep 72/100 | Loss: 0.0579 | Train Acc: 98.6% | Val Acc: 91.9%
Ep 73/100 | Loss: 0.1100 | Train Acc: 96.5% | Val Acc: 99.6%
Ep 74/100 | Loss: 0.0377 | Train Acc: 98.9% | Val Acc: 99.6%
Ep 75/100 | Loss: 0.0282 | Train Acc: 99.3% | Val Acc: 99.8%
Ep 76/100 | Loss: 0.0333 | Train Acc: 99.1% | Val Acc: 99.4%
Ep 77/100 | Loss: 0.0929 | Train Acc: 97.1% | Val Acc: 97.2%
Ep 78/100 | Loss: 0.0449 | Train Acc: 98.9% | Val Acc: 99.1%
Ep 79/100 | Loss: 0.0271 | Train Acc: 99.4% | Val Acc: 99.6%
Ep 80/100 | Loss: 0.0645 | Train Acc: 98.0% | Val Acc: 96.4%
Ep 81/100 | Loss: 0.0382 | Train Acc: 99.0% | Val Acc: 99.6%
Ep 82/100 | Loss: 0.0261 | Train Acc: 99.1% | Val Acc: 99.8%
Ep 83/100 | Loss: 0.0276 | Train Acc: 99.3% | Val Acc: 97.7%
Ep 84/100 | Loss: 0.0836 | Train Acc: 97.7% | Val Acc: 99.8%
Ep 85/100 | Loss: 0.0236 | Train Acc: 99.4% | Val Acc: 99.8%
Ep 86/100 | Loss: 0.0832 | Train Acc: 97.1% | Val Acc: 99.1%
Ep 87/100 | Loss: 0.0232 | Train Acc: 99.5% | Val Acc: 99.8%
Ep 88/100 | Loss: 0.0255 | Train Acc: 99.1% | Val Acc: 99.8%
Ep 89/100 | Loss: 0.0212 | Train Acc: 99.3% | Val Acc: 99.6%
Ep 90/100 | Loss: 0.0502 | Train Acc: 98.3% | Val Acc: 99.5%
Ep 91/100 | Loss: 0.0221 | Train Acc: 99.5% | Val Acc: 99.8%
Ep 92/100 | Loss: 0.0234 | Train Acc: 99.3% | Val Acc: 99.5%
Ep 93/100 | Loss: 0.0377 | Train Acc: 98.8% | Val Acc: 99.4%
Ep 94/100 | Loss: 0.0240 | Train Acc: 99.3% | Val Acc: 99.9%
Ep 95/100 | Loss: 0.0804 | Train Acc: 97.3% | Val Acc: 99.2%
Ep 96/100 | Loss: 0.0242 | Train Acc: 99.5% | Val Acc: 99.8%
Ep 97/100 | Loss: 0.0183 | Train Acc: 99.3% | Val Acc: 99.8%
Ep 98/100 | Loss: 0.0175 | Train Acc: 99.3% | Val Acc: 99.8%
Ep 99/100 | Loss: 0.1346 | Train Acc: 95.4% | Val Acc: 99.6%
Ep 100/100 | Loss: 0.0241 | Train Acc: 99.3% | Val Acc: 99.8%

Section 2: Final Confusion Matrix			
True Class	Pred Dry	Pred Wet	Pred NonAMD
Dry AMD	54	0	0
Wet AMD	1	60	0
NonAMD	1	0	741


🚀 Training Classifier on cuda...
✅ Balanced Training Samples: 2226 (Repeated minority classes)
✅ Real Validation Samples:  857 (Original distribution)
Starting Training Loop...
Ep 1/40 | Loss: 1.1149 | Train Acc: 35.3% | Val Acc: 12.7%
Ep 2/40 | Loss: 1.0975 | Train Acc: 37.6% | Val Acc: 14.9%
Ep 3/40 | Loss: 1.0826 | Train Acc: 39.8% | Val Acc: 12.1%
Ep 4/40 | Loss: 1.0700 | Train Acc: 41.9% | Val Acc: 9.1%
Ep 5/40 | Loss: 1.0567 | Train Acc: 44.6% | Val Acc: 42.6%
Ep 6/40 | Loss: 1.0292 | Train Acc: 47.1% | Val Acc: 50.3%
Ep 7/40 | Loss: 0.9672 | Train Acc: 50.2% | Val Acc: 12.0%
Ep 8/40 | Loss: 0.9149 | Train Acc: 54.6% | Val Acc: 46.3%
Ep 9/40 | Loss: 0.8853 | Train Acc: 55.9% | Val Acc: 15.1%
Ep 10/40 | Loss: 0.8687 | Train Acc: 57.5% | Val Acc: 55.3%
Ep 11/40 | Loss: 0.8533 | Train Acc: 59.4% | Val Acc: 37.1%
Ep 12/40 | Loss: 0.8011 | Train Acc: 63.5% | Val Acc: 52.3%
Ep 13/40 | Loss: 0.7401 | Train Acc: 67.8% | Val Acc: 70.5%
Ep 14/40 | Loss: 0.7077 | Train Acc: 69.2% | Val Acc: 79.1%
Ep 15/40 | Loss: 0.6575 | Train Acc: 72.2% | Val Acc: 48.0%
Ep 16/40 | Loss: 0.6118 | Train Acc: 74.9% | Val Acc: 73.3%
Ep 17/40 | Loss: 0.5601 | Train Acc: 78.1% | Val Acc: 74.0%
Ep 18/40 | Loss: 0.5530 | Train Acc: 78.4% | Val Acc: 84.0%
Ep 19/40 | Loss: 0.4839 | Train Acc: 81.8% | Val Acc: 44.9%
Ep 20/40 | Loss: 0.4448 | Train Acc: 84.1% | Val Acc: 90.2%
Ep 21/40 | Loss: 0.4338 | Train Acc: 85.0% | Val Acc: 76.5%
Ep 22/40 | Loss: 0.3998 | Train Acc: 86.1% | Val Acc: 53.9%
Ep 23/40 | Loss: 0.3523 | Train Acc: 88.9% | Val Acc: 85.2%
Ep 24/40 | Loss: 0.3317 | Train Acc: 90.2% | Val Acc: 72.3%
Ep 25/40 | Loss: 0.3174 | Train Acc: 90.1% | Val Acc: 81.1%
Ep 26/40 | Loss: 0.3121 | Train Acc: 90.0% | Val Acc: 89.0%
Ep 27/40 | Loss: 0.2575 | Train Acc: 92.1% | Val Acc: 87.2%
Ep 28/40 | Loss: 0.2717 | Train Acc: 91.6% | Val Acc: 31.9%
Ep 29/40 | Loss: 0.2252 | Train Acc: 94.2% | Val Acc: 94.6%
Ep 30/40 | Loss: 0.2514 | Train Acc: 92.5% | Val Acc: 91.2%
Ep 31/40 | Loss: 0.2016 | Train Acc: 94.4% | Val Acc: 90.9%
Ep 32/40 | Loss: 0.1880 | Train Acc: 95.4% | Val Acc: 96.5%
Ep 33/40 | Loss: 0.1686 | Train Acc: 95.6% | Val Acc: 89.6%
Ep 34/40 | Loss: 0.1794 | Train Acc: 95.2% | Val Acc: 92.8%
Ep 35/40 | Loss: 0.1309 | Train Acc: 96.3% | Val Acc: 97.1%
Ep 36/40 | Loss: 0.1678 | Train Acc: 95.0% | Val Acc: 94.5%
Ep 37/40 | Loss: 0.1329 | Train Acc: 96.2% | Val Acc: 84.6%
Ep 38/40 | Loss: 0.1372 | Train Acc: 96.2% | Val Acc: 93.8%
Ep 39/40 | Loss: 0.1091 | Train Acc: 97.0% | Val Acc: 98.2%
Ep 40/40 | Loss: 0.1078 | Train Acc: 97.5% | Val Acc: 96.4%
🎉 Classifier Saved to /content/drive/MyDrive/OCT_Project/checkpoints/classifier_final.pth

